key_point_id,key_point,topic,stance
-5713681338440750231,Governments should avoid the proliferation of fake news and hoaxes on social networks.,Social media platforms should be regulated by the government,1
7778625346838950565,Social media platforms should be regulated by the government to prevent any potential crimes,Social media platforms should be regulated by the government,1
4061668451699181800,Social media platforms should be regulated by the government to stop hate posts,Social media platforms should be regulated by the government,1
1742955843735094529,It should be regulated since certain information can be filtered there,Social media platforms should be regulated by the government,1
-3287092097468204901,Social media platforms ought to be regulated by the government to stop the crimes of blackmailing.,Social media platforms should be regulated by the government,1
4154335303683571034,Social media platforms should be regulated by the government to stop hate crimes,Social media platforms should be regulated by the government,1
5023466344171097812,Social media platforms should be regulated by the government to stop hate speech,Social media platforms should be regulated by the government,1
-2994205339214288524,Social media platforms should be regulated by the government to stop terrorism and crimes,Social media platforms should be regulated by the government,1
-183890300563333009,Social media must be regulate to protect society from crime that platforms breed.,Social media platforms should be regulated by the government,1
-5544107488474801500,"It should be regulated, to make a safer enviroment for children, from paedophiles and bullying.",Social media platforms should be regulated by the government,1
-6703074852882335212,Government regulation of social media would be harmful to democracy,Social media platforms should be regulated by the government,-1
3489526522630322248,"Social media is simply harmless fun, which entertains people and should not be regulated.",Social media platforms should be regulated by the government,-1
-4534476536304348217,It shouldn't because it is something private where people can express themselves share ideas,Social media platforms should be regulated by the government,-1
-7779224114758918988,Government regulation of social media prevents people from expressing their freedom of speach.,Social media platforms should be regulated by the government,-1
8648388049570291755,"It shouldn't, they are private companies, what you should do is monitor their content",Social media platforms should be regulated by the government,-1
7617698776279291988,Social media platform should not be regulated out of respect for freedom of expression,Social media platforms should be regulated by the government,-1
5666231118904127696,Social media censorship restricts the freedom of speech of every citizen,Social media platforms should be regulated by the government,-1
7164477766892154699,Social media platform should not beregulated by the government,Social media platforms should be regulated by the government,-1
3141005435876524171,Social media is a place for free speech and therefore should not be regulated by the government.,Social media platforms should be regulated by the government,-1
-694879213682448149,the government is corrupt and could take advantage of this,Social media platforms should be regulated by the government,-1
-3960879072655140733,Child vaccination should be mandatory to avoid the virus,Routine child vaccinations should be mandatory,1
1119776640405850536,Children must be vaccinated because it protects against most infectious diseases,Routine child vaccinations should be mandatory,1
-8728793502398138615,Routine child vaccinations should be mandatory to prevent the disease,Routine child vaccinations should be mandatory,1
8108714205787141192,Child vaccination should be mandatory because they may transfer the virus,Routine child vaccinations should be mandatory,1
9001259558021791854,Childhood vaccination should be mandatory since there are diseases that attack from childhood.,Routine child vaccinations should be mandatory,1
-5748946500437708425,Routine child vaccinations should be mandatory to prevent the virus from developing itself.,Routine child vaccinations should be mandatory,1
-2540233658355562513,"Child vaccination is needed for children, they get sick too",Routine child vaccinations should be mandatory,1
-4691894178986498062,yes as they protect children from life threatening and highly infectious diseases,Routine child vaccinations should be mandatory,1
1731122815108193047, Routine childhood vaccinations  should be mandatory for virus prevention,Routine child vaccinations should be mandatory,1
-6862657561405335001,Children's vaccines should be frequent since they protect our children from any virus and disease,Routine child vaccinations should be mandatory,1
5576563733228705560,Children should not be vaccinated because they can have serious side effects,Routine child vaccinations should be mandatory,-1
3638585597461747812,it is the duty of parents to choose whether or not to vaccinate their children,Routine child vaccinations should be mandatory,-1
-5911690234309228432,could have negative side effects on your health and cause physical and psychological changes,Routine child vaccinations should be mandatory,-1
2279577132211891658,"As long as vaccines are not free of side effects, it cannot make them mandatory for our children.",Routine child vaccinations should be mandatory,-1
27074789572933574,Routine child vaccinations isn't mandatory since children don't spread the virus,Routine child vaccinations should be mandatory,-1
5388616222124508490,Child vaccination should not be mandatory as there are often side effects from them,Routine child vaccinations should be mandatory,-1
-7547729120794457176,Child vaccination isn't necessary and may result in other diseases for children,Routine child vaccinations should be mandatory,-1
5000147403521110121,child vaccinations is not mandatory because it may cost the country unnecessary funds.,Routine child vaccinations should be mandatory,-1
668002399053789956,child vaccinations should not be mandatory because vaccines are expensive.,Routine child vaccinations should be mandatory,-1
7444424796479480616,Routine child vaccinations should not be necessary as children can't catch the disease,Routine child vaccinations should be mandatory,-1
-8341983006104269425,in a country with great opportunities and better quality of life,The USA is a good country to live in,1
-2026206986363489784,Excellent country to live for its people and its culture.,The USA is a good country to live in,1
8142060847006617009,America is a free nation where working hard you can live the American dream,The USA is a good country to live in,1
7374134076280790715,Usa for being the world power is the American dream where everything is possible,The USA is a good country to live in,1
2948273198749857423,in usa you had health and security and you can work and make deccent salary,The USA is a good country to live in,1
-6132300878188902767,The USA is a first world country and is a good place to live,The USA is a good country to live in,1
-1696377810025764155,The USA is a great place to live as everybody is able to prosper.,The USA is a good country to live in,1
-6265749542985524507,gives you opportunities for improvement with secure jobs and good salary,The USA is a good country to live in,1
716024649290557329,The United States is a land of opportunities where we can develop in different environments,The USA is a good country to live in,1
2619888223226157479,"Along with the diversity of people, The United States has a diverse natural landscape",The USA is a good country to live in,1
7755593292552977192,It is very unsafe with the large number of attacks that there are,The USA is a good country to live in,-1
-4143999492187458922,The USA is not a good country to live in because some people don't respect the immigrants,The USA is a good country to live in,-1
5486856049937785756,"The health sector, despite being very good, is excessively expensive, as is healthy food.",The USA is a good country to live in,-1
8347770032284244691,The USA is not a good country to live in because many people are racists,The USA is a good country to live in,-1
5351390235902171524,The USA is a greatly divided country that can make it difficult to succeed,The USA is a good country to live in,-1
6816410698044379743,there are many racial problems that endanger social peace,The USA is a good country to live in,-1
-5016009465133779736,it doesn`t have free healthcare and it has a lot of shootings and racist systems in place.,The USA is a good country to live in,-1
680805024184801553,"No, it is a very strict country with an unstoppable political system.",The USA is a good country to live in,-1
-1178858013575583371,in the USA the health system is very expensive and discriminates against the poor population,The USA is a good country to live in,-1
5024570835671177966,The USA is not a good country to live in because is always in war with other country,The USA is a good country to live in,-1
